"Urun_Ad",Marka,Seri,"Urun_URL",SSD,"Islemci_Turu","Islemci_Nesli","Islemci_Modeli","Islemci_Cekirdek_Sayisi","Islemci_Hizi","Ekran_Kart","Ekran_Karti_Modeli","Ekran_Karti_Tipi","Ekran_Karti_Hafizasi",RAM,"RAM_Frekans","Ram_Turu","Cozunurluk_Format","Ekran_Boyutu","Ekran_Cozunurlugu","Ekran_Yenileme_Hizi","Panel_Tipi","Isletim_Sistemi",Agirlik,"Pil_Gucu",Fiyat
"Casper Nirvana X600.1235-BV00P-G-F i5-1235U 16 GB 500 GB SSD Iris Xe Graphics 15.6"" Full HD Notebook",Casper,"Casper Nirvana","https//www.akakce.com/laptop-notebook/en-ucuz-casper-nirvana-x600-1235-bv00p-g-f-i5-1235u-16-gb-500-gb-ssd-iris-xe-graphics-15-6-full-hd-notebook-fiyati,437941713.html","500 GB","Intel Core i5","12. Nesil","i5-1235U",10,"3.3 GHz",Intel,"Iris Xe Graphics","Paylaşımlı","6 GB","16 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Windows 11 Home","1.6","38 Wh","19.449"
"Asus X515EA-BQ945W i3-1115G4 4 GB 256 GB SSD UHD Graphics 15.6"" Full HD Notebook",Asus,"Asus X515EA-BQ945W","https//www.akakce.com/laptop-notebook/en-ucuz-asus-x515ea-bq945w-i3-1115g4-4-gb-256-gb-ssd-uhd-graphics-15-6-full-hd-notebook-fiyati,445709145.html","256 GB","Intel Core i3","11. Nesil","i3-1115G4",2,"3.00 GHz",Intel,"UHD Graphics","Paylaşımlı","6 GB","4 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Windows 11 Home",,"37 Wh","10.559"
"Casper Nirvana Z100 Z100.1335-BV00X-B-Q i5-1335U 16 GB 500 GB SSD Iris Xe Graphics 14"" WQXGA Notebook",Casper,"Casper Nirvana","https//www.akakce.com/laptop-notebook/en-ucuz-casper-nirvana-z100-z100-1335-bv00x-b-q-i5-1335u-16-gb-500-gb-ssd-iris-xe-graphics-14-wqxga-notebook-fiyati,575910825.html","500 GB","Intel Core i5","13. Nesil","i5-1335U",10,"3.40 GHz",Intel,"Iris Xe Graphics","Paylaşımlı","6 GB","16 GB","5500 MHz",LPDDR5,WQXGA,"14 inç","2560x1600 px","144 Hz",IPS,"Free Dos","1.25","50 Wh","24.941"
"Lenovo Ideapad 1 15ALC7 82R400LYTX Ryzen 5 5500U 8 GB 256 GB SSD Radeon Graphics 15.6"" Full HD Notebook",Lenovo,"Lenovo IdeaPad","https//www.akakce.com/laptop-notebook/en-ucuz-lenovo-ideapad-1-15alc7-82r400lytx-ryzen-5-5500u-8-gb-256-gb-ssd-radeon-graphics-15-6-full-hd-notebook-fiyati,690163094.html","256 GB","AMD Ryzen 5",,5500U,6,"2.10 GHz",,"Radeon Graphics","Paylaşımlı","6 GB","8 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",TN,"Free Dos",,"42 Wh","13.799"
"Dell Latitude 5550 N021L555015EMEA_VP_UBU Ultra 7 155H 16 GB 512 GB SSD Arc Graphics 15.6"" Full HD Notebook",Dell,"Dell Latitude","https//www.akakce.com/laptop-notebook/en-ucuz-dell-latitude-5550-n021l555015emea-vp-ubu-ultra-7-155h-16-gb-512-gb-ssd-arc-graphics-15-6-full-hd-notebook-fiyati,743948751.html","512 GB","Intel Core Ultra 7",,155H,16,"1.40 GHz",Intel,"Arc Graphics","Paylaşımlı","6 GB","16 GB","5600 MHz",DDR5,"Full HD","15.6 inç","1920x1080 px","60 Hz",IPS,Linux,,"60 Wh","43.399"
"Asus Vivobook S14 Flip TP3402VA-LZ187W i5-1335U 8 GB 512 GB SSD Iris Xe Graphics 14"" WUXGA İkisi Bir Arada Notebook",Asus,"Asus Vivobook","https//www.akakce.com/laptop-notebook/en-ucuz-asus-vivobook-s-14-flip-tp3402va-lz187w-i5-1335u-8-gb-512-gb-ssd-iris-xe-graphics-14-wuxga-notebook-fiyati,793631515.html","512 GB","Intel Core i5","13. Nesil","i5-1335U",10,"3.40 GHz",Intel,"Iris Xe Graphics","Paylaşımlı","6 GB","8 GB","3200 MHz",DDR4,WUXGA,"14 inç","1920x1200 px","144 Hz","IPS Level","Windows 11 Home","1.5","50 Wh","29.999"
"HP ZBook Fury 16 G11 5F9K1ES i7-14700HX 32 GB 1 TB SSD RTX3500 Ada 16"" WUXGA Taşınabilir İş İstasyonu",HP,"HP ZBook","https//www.akakce.com/laptop-notebook/en-ucuz-hp-zbook-fury-16-g11-i7-14700hx-32-gb-1-tb-ssd-rtx-3500-ada-16-wuxga-tasinabilir-is-istasyonu-fiyati,807688706.html","1 TB","Intel Core i7","14. Nesil","i7-14700HX",20,"2.10 GHz",NVIDIA,"RTX 3500 Ada",Harici,"12 GB","32 GB","5600 MHz",DDR5,WUXGA,"16 inç","1920x1200 px","144 Hz",IPS,"Windows 11 Professional",,"95 Wh","133.509"
"HP EliteBook 660 G11 9C075EA Ultra 5 125U 16 GB 512 GB SSD Intel Graphics 16"" WUXGA Notebook",HP,"HP EliteBook","https//www.akakce.com/laptop-notebook/en-ucuz-hp-elitebook-660-g11-9c075ea-ultra-5-125u-16-gb-512-gb-ssd-intel-graphics-16-wuxga-notebook-fiyati,871713637.html","512 GB","Intel Core Ultra 5",,125U,12,"1.30 GHz",Intel,"Intel Graphics","Paylaşımlı","6 GB","16 GB","3200 MHz",DDR4,WUXGA,"16 inç","1920x1200 px","144 Hz",IPS,"Free Dos",,"56 Wh","33.016"
"HP ZBook Firefly G11 86A93EA Ultra 7 165H 32 GB 1 TB SSD RTX A500 16"" WUXGA Taşınabilir İş İstasyonu",HP,"HP ZBook","https//www.akakce.com/laptop-notebook/en-ucuz-hp-zbook-firefly-g11-86a93ea-ultra-7-165h-32-gb-1-tb-ssd-rtx-a500-16-wuxga-tasinabilir-is-istasyonu-fiyati,874431756.html","1 TB","Intel Core Ultra 7",,165H,16,"1.40 GHz",NVIDIA,"RTX A500",Harici,"4 GB","32 GB","5600 MHz",DDR5,WUXGA,"16 inç","1920x1200 px","144 Hz",IPS,"Windows 11 Professional","1.8","76 Wh","81.645"
"MacBook Pro M1 8 GB 512 GB SSD 13.3"" MYDC2TU/A Gümüş",MacBook,"MacBook Pro","https//www.akakce.com/laptop-notebook/en-ucuz-macbook-pro-mydc2tu-a-apple-m1-8-gb-512-gb-ssd-13-3-notebook-fiyati,882494148.html","512 GB","Apple M1",,,,,,,"Paylaşımlı","6 GB","8 GB","3200 MHz",DDR4,"Full HD","13.3 inç","2560x1600 px","144 Hz",IPS,macOS,,"58.20 Wh","43.119"
